2119680	南国度假岛物语 (Tropical Resort Story)
2183900	Warhammer 40,000: 星际战士2
2191480	珍宝机场物语 (Jumbo Airport Story)
2191490	口袋学院物语3 (Pocket Academy 3)
2290180	极限国度
2315040	火炬之光：无限
2321470	深岩银河：幸存者
2337860	呆呆大乱斗
2346410	边境开拓者
2358720	黑神话：悟空
2375080	Sakura Bunny Girls
2379780	Balatro
2384580	真・三国无双 起源
2399220	NUKITASHI
2427100	创意咖啡店物语 (Cafe Master Story)
2431880	大海贼探险物语DX (High Sea Saga DX)
2437690	探险顽皮动物园 (Zoo Park Story)
2457890	DRACOMATON
2479810	灰区战争
2487490	Sakura Succubus 8
2488340	创造都市岛物语 (Dream Town Island)
2608040	Travellin Cats in China
2614070	NUKITASHI 2
2646050	Sakura Isekai Adventure
2732020	开拍！电视制作物语 (TV Studio Story)
2752710	WHAT THE PAK?!
2767030	漫威争锋
2788150	Sakura Succubus 9
2788160	Sakura Bunny Girls 2
2832790	Sakura Isekai Adventure 2
2848360	洞窟冒险团物语 (Cavern Adventurers)
2860410	NineHells
2950340	LEGO® Harry Potter™ Collection
2955840	厨房战争
3017860	DOOM: The Dark Ages
3042830	前进！！英雄战队物语 DX (Legends of Heropolis DX)
3059010	二战前线合集
3132250	平安古都物语 (Heian City Story)
3178350	无双深渊
3240500	Sakura Isekai Adventure 3
3334710	摔跤擂台物语 (Pro Wrestler Story)
3353830	生存战场
3472040	NBA 2K26
3527290	PEAK
3595230	《使命召唤®：现代战争® II 2022》
3601190	银盘滑冰场物语 (Skating Rink Story)
3784030	浣熊推币机
3856040	形单影只：坠落地牢无尽深渊
3862670	龟龟潜海记 Shelldiver
3934270	多少兄弟？
3936590	探险异星飞行队 (Final Frontier Story)
4212210	魔王城物语 (Demon Castle Story)
4424950	飞空艇探险物语 (Skyship Quest Story)
